elo,overall,max_overall,attack,defense,pace,shooting,passing,form_scored,form_conceded,form_win_rate,team
1453.0673225627515,66.0,72,66.0,66.0,77.5,66.5,55.0,0.6,1.2,0.2,Tanzania
1722.0250825594294,63.38461538461539,69,63.5,66.0,66.53846153846153,53.23076923076923,55.0,1.4,0.6,0.6,Iraq
1295.6040800987448,68.5,70,68.5,68.5,61.5,64.5,64.5,1.4,1.2,0.4,Eritrea
1463.1580853161918,64.0,64,64.0,64.0,84.0,55.0,56.0,1.8,0.8,0.8,Papua New Guinea
1665.2136050603242,68.64285714285714,74,68.6,69.14285714285714,68.83333333333333,56.41666666666666,60.333333333333336,0.4,1.6,0.4,Bolivia
1412.953887941277,65.0,72,65.4,63.2,62.1,55.0,53.2,0.6,4.0,0.0,Moldova
1885.13341121064,79.5,84,77.0,80.18181818181819,67.41666666666667,62.333333333333336,71.83333333333333,2.8,0.6,0.6,Denmark
1296.2281683674976,65.0,67,63.0,65.0,73.0,45.333333333333336,55.66666666666666,0.6,3.2,0.2,Saint Lucia
1478.1513746934584,56.0,56,56.0,56.0,70.0,55.0,50.0,0.8,2.0,0.2,Nicaragua
1501.226725887463,73.66666666666667,81,68.0,76.5,83.66666666666667,53.333333333333336,60.333333333333336,0.8,1.4,0.4,Mozambique
1363.5641444251576,59.5,65,59.5,65.0,71.5,42.0,52.5,1.0,1.4,0.2,Puerto Rico
1690.9654723412157,73.0,86,73.25,72.66666666666667,69.76923076923077,59.69230769230769,62.92307692307692,1.2,2.6,0.2,Georgia
1505.6075198005117,63.0,63,63.0,63.0,57.0,68.0,49.0,1.4,2.0,0.2,Korea Dpr
1627.4136487294547,67.91666666666667,74,71.75,65.71428571428571,71.58333333333333,58.41666666666666,60.16666666666666,1.0,0.4,0.4,Honduras
1852.2959355797009,76.07142857142857,87,76.625,75.16666666666667,74.0,69.23076923076923,69.46153846153847,1.6,1.4,0.6,Korea Republic
1756.7589069255466,72.78571428571429,77,72.71428571428571,72.5,70.84615384615384,65.46153846153847,64.15384615384616,0.8,2.4,0.2,Venezuela
1477.4469248801686,67.66666666666667,81,69.125,64.33333333333333,73.5,57.583333333333336,61.25,0.4,2.0,0.2,Armenia
1620.0469655117686,71.92857142857143,76,71.55555555555556,72.6,70.3076923076923,63.76923076923077,66.38461538461539,2.6,1.8,0.4,Iceland
1369.9965479539687,63.0,63,63.0,63.0,76.0,61.0,56.0,1.2,1.4,0.2,Turkmenistan
1889.6493942657287,81.28571428571429,88,81.0,81.1,75.38461538461539,65.07692307692308,70.76923076923077,1.2,0.2,0.6,Uruguay
1548.0491833040887,68.5,73,73.0,64.0,66.5,55.0,51.0,0.6,0.6,0.2,Palestine
1512.4229831362138,69.85714285714286,77,70.25,69.0,78.42857142857143,59.42857142857143,60.785714285714285,3.2,1.2,0.6,Gambia
1120.7052258002698,63.0,63,63.0,63.0,69.0,62.0,46.0,1.4,2.0,0.2,Cambodia
1905.949920442604,78.0,81,78.33333333333333,77.5,78.07692307692308,65.76923076923077,72.3076923076923,1.4,1.2,0.4,Japan
1496.2544340715567,67.0,76,66.75,66.9,69.08333333333333,48.75,59.833333333333336,0.2,2.4,0.0,Luxembourg
1300.3221257519904,63.66666666666666,67,60.0,63.66666666666666,66.66666666666667,49.66666666666666,56.0,1.8,1.4,0.4,Saint Kitts And Nevis
1463.6622160172085,60.75,65,60.75,60.75,80.5,56.75,51.75,0.4,1.2,0.2,Sudan
1024.3178974992202,54.0,54,54.0,54.0,68.96070522845783,48.78959834291678,50.46712208825971,0.2,4.8,0.0,San Marino
1829.462738943252,76.64285714285714,79,76.85714285714286,76.375,75.46153846153847,60.0,67.46153846153847,1.4,1.0,0.6,United States
1660.3277701221125,74.0,80,74.71428571428571,73.55555555555556,78.21428571428571,62.57142857142857,66.42857142857143,1.8,0.8,0.8,Congo Dr
1842.8131545546607,78.35714285714286,85,78.66666666666667,77.88888888888889,73.58333333333333,63.41666666666666,70.75,3.0,2.0,0.8,Turkey
1777.0835930983244,80.0,86,80.8,78.75,62.41666666666666,72.66666666666667,73.66666666666667,0.8,1.8,0.4,Serbia
2060.2167276248924,84.14285714285714,90,85.0,83.11111111111111,73.61538461538461,71.23076923076923,77.6923076923077,2.2,0.4,0.6,Argentina
1784.2722469023238,75.64285714285714,81,75.5,75.75,74.0,64.91666666666667,66.08333333333333,2.0,2.4,0.4,Greece
1425.1837833142451,68.0,68,68.0,68.0,83.0,54.0,54.0,1.4,1.6,0.4,Vanuatu
1948.889458711311,84.71428571428571,89,85.0,84.0,76.25,73.75,78.5,2.2,1.2,0.6,Portugal
1457.3117720421378,64.0,64,64.0,64.0,74.0,66.0,62.0,1.4,1.4,0.4,Namibia
1736.7880791818886,77.07142857142857,81,77.625,76.0,72.3076923076923,66.46153846153847,72.23076923076923,0.6,2.2,0.0,Sweden
1632.7628026226043,71.64285714285714,80,72.0,71.11111111111111,69.6923076923077,62.0,62.53846153846154,1.4,0.6,0.2,North Macedonia
1880.2613351106447,79.28571428571429,85,79.0,80.71428571428571,70.84615384615384,65.92307692307692,72.0,1.8,0.2,0.8,Morocco
1626.1849952048158,70.5,81,71.2,70.85714285714286,75.46153846153847,54.53846153846154,60.07692307692308,2.6,0.6,0.8,Burkina Faso
2091.9686300912435,84.64285714285714,89,83.8,85.14285714285714,70.61538461538461,72.92307692307692,81.84615384615384,3.8,0.0,1.0,Spain
1617.1218942151795,70.92857142857143,75,69.0,71.0909090909091,58.23076923076923,53.30769230769231,63.84615384615385,1.2,1.2,0.4,Northern Ireland
1718.9203729439594,70.84615384615384,89,69.11111111111111,74.75,67.61538461538461,61.38461538461539,62.69230769230769,0.8,1.0,0.2,Egypt
1853.540243167648,78.78571428571429,81,78.55555555555556,79.2,75.61538461538461,70.76923076923077,71.46153846153847,0.6,1.4,0.0,Mexico
1555.5199031953396,72.5,81,70.0,73.33333333333333,72.0,62.75,64.75,1.4,0.6,0.6,Libya
1526.0226720578344,61.0,69,58.0,61.0,72.5,41.5,52.5,2.0,0.6,0.8,Uganda
1219.2481544333016,58.0,58,58.0,58.0,65.0,44.5,46.5,0.2,1.8,0.0,Gibraltar
1355.1013498816892,69.0,69,69.0,69.0,77.0,68.0,64.0,0.8,3.8,0.0,Bermuda
1525.908291432621,63.2,77,71.5,62.0,74.0,56.5,60.25,1.4,1.2,0.2,Trinidad And Tobago
1233.995237132828,63.0,63,63.0,63.0,80.0,50.0,58.0,0.2,1.2,0.0,Afghanistan
1923.624324411984,84.35714285714286,87,84.25,84.22222222222223,75.5,65.33333333333333,73.0,3.6,1.0,1.0,Italy
1790.4960481224728,79.42857142857143,90,80.57142857142857,78.33333333333333,79.75,73.25,74.625,1.6,0.6,0.6,Poland
1711.3701308715497,76.21428571428571,84,74.25,77.1,72.41666666666667,60.41666666666666,65.91666666666667,1.2,0.4,0.8,Slovakia
1815.6802126894488,72.85714285714286,78,71.75,72.83333333333333,71.07692307692308,60.15384615384615,62.92307692307692,1.2,0.8,0.6,Australia
1368.741853504012,62.285714285714285,66,62.8,62.0,72.5,44.0,51.16666666666666,0.6,1.4,0.0,India
1673.6577412434394,73.0,77,72.88888888888889,73.2,75.36363636363636,69.18181818181819,71.45454545454545,1.2,1.8,0.4,Romania
1833.043106500442,79.64285714285714,85,78.71428571428571,80.5,71.92857142857143,63.35714285714285,71.0,3.0,0.4,0.8,Austria
